Disease Name,TreeNumber
Duodenal Ulcer,C06.405.748.586.349
Duodenitis,C06.405.205.462.249
Duodenitis,C06.405.469.275.600
Duodenitis,C06.405.469.326.750
Duodenogastric Reflux,C06.405.469.275.700
Duodenogastric Reflux,C06.405.748.240
Dupuytren Contracture,C04.557.450.565.590.340.173
Dupuytren Contracture,C05.651.197.270
Dupuytren Contracture,C17.300.270
Dwarfism,C05.116.099.343
Dwarfism,C16.320.240
Dwarfism,C19.297
"Dwarfism, Pituitary",C05.116.099.343.445
"Dwarfism, Pituitary",C05.116.132.358
"Dwarfism, Pituitary",C10.228.140.617.738.300.300
"Dwarfism, Pituitary",C19.297.312
"Dwarfism, Pituitary",C19.700.482.311
Dysarthria,C10.597.606.150.500.800.150.200
Dysarthria,C23.888.592.604.150.500.800.150.200
"Dysautonomia, Familial",C10.177.575.300
"Dysautonomia, Familial",C10.500.250.309
"Dysautonomia, Familial",C10.574.500.493.250
"Dysautonomia, Familial",C10.668.829.800.175.250
"Dysautonomia, Familial",C16.131.666.310.309
"Dysautonomia, Familial",C16.320.400.415.309
Dysentery,C06.405.205.331
Dysentery,C06.405.469.300
"Dysentery, Amebic",C01.610.432.396
"Dysentery, Amebic",C01.610.752.049.328
"Dysentery, Amebic",C06.405.205.331.312
"Dysentery, Amebic",C06.405.469.300.312
"Dysentery, Amebic",C06.405.469.452.396
"Dysentery, Bacillary",C01.150.252.400.310.229
"Dysentery, Bacillary",C06.405.205.331.479
"Dysentery, Bacillary",C06.405.469.300.479
Dysgammaglobulinemia,C15.378.147.333
Dysgammaglobulinemia,C20.673.430
Dysgerminoma,C04.557.465.330.300
Dysgeusia,C10.597.751.861.479
Dysgeusia,C23.888.592.763.861.479
"Dyskinesia, Drug-Induced",C10.228.662.262.500
"Dyskinesia, Drug-Induced",C10.597.350.275
"Dyskinesia, Drug-Induced",C10.720.312
"Dyskinesia, Drug-Induced",C23.888.592.350.275
"Dyskinesia, Drug-Induced",C25.100.750
"Dyskinesia, Drug-Induced",C25.723.705.200
Dyslexia,C10.597.606.150.500.300
Dyslexia,C10.597.606.150.550.700.500
Dyslexia,C23.888.592.604.150.500.300
Dyslexia,C23.888.592.604.150.550.700.500
"Dyslexia, Acquired",C10.597.606.150.500.300.200
"Dyslexia, Acquired",C10.597.606.150.550.700.500.500
"Dyslexia, Acquired",C23.888.592.604.150.500.300.200
"Dyslexia, Acquired",C23.888.592.604.150.550.700.500.500
Dysmenorrhea,C23.550.568.750
Dysmenorrhea,C23.888.592.612.944.500
Dysostoses,C05.116.099.370
Dyspareunia,C12.050.351.500.110
Dyspareunia,C12.100.250.110
Dyspareunia,C12.100.500.100
Dyspareunia,C12.100.875.242
Dyspareunia,C12.200.294.100
Dyspepsia,C23.888.821.236
Dysplastic Nevus Syndrome,C04.557.665.560.260
Dysplastic Nevus Syndrome,C04.700.305
Dysplastic Nevus Syndrome,C16.320.700.305
Dyspnea,C08.618.326
Dyspnea,C23.888.852.371
"Dyspnea, Paroxysmal",C08.618.326.396
"Dyspnea, Paroxysmal",C14.280.434.313
"Dyspnea, Paroxysmal",C23.888.852.371.396
Dystocia,C12.050.703.420.288
Dystonia,C10.597.350.300
Dystonia,C23.888.592.350.300
Dystonia Musculorum Deformans,C10.228.140.079.357
Dystonia Musculorum Deformans,C10.228.662.300.200
Dystonia Musculorum Deformans,C10.574.500.393
Dystonia Musculorum Deformans,C16.320.400.330
"Ear Deformities, Acquired",C09.218.271
Ear Diseases,C09.218
Ear Neoplasms,C04.588.443.665.312
Ear Neoplasms,C09.218.334
Ear Neoplasms,C09.647.312
Earache,C09.218.350
Earache,C23.888.592.612.302
Ebstein Anomaly,C14.240.400.395
Ebstein Anomaly,C14.280.400.395
Ebstein Anomaly,C16.131.240.400.395
Ecchymosis,C15.378.100.452
Ecchymosis,C23.550.414.625
Ecchymosis,C23.888.885.312
Echinococcosis,C01.610.335.190.396
"Echinococcosis, Hepatic",C01.610.335.190.396.314
"Echinococcosis, Hepatic",C01.610.518.314
"Echinococcosis, Hepatic",C06.552.664.272
"Echinococcosis, Pulmonary",C01.610.335.190.396.480
"Echinococcosis, Pulmonary",C01.610.582.314
"Echinococcosis, Pulmonary",C01.748.450.314
"Echinococcosis, Pulmonary",C08.381.517.314
"Echinococcosis, Pulmonary",C08.730.450.314
Echinostomiasis,C01.610.335.865.282
Echolalia,C10.597.606.150.500.800.300
Echolalia,C23.888.592.604.150.500.800.300
Echovirus Infections,C01.925.782.687.359.347
Eclampsia,C12.050.703.395.124
Ecthyma,C01.150.252.410.890.168
Ecthyma,C01.150.252.819.210
Ecthyma,C01.800.720.210
Ecthyma,C17.800.695.210
Ecthyma,C17.800.838.765.210
"Ecthyma, Contagious",C01.925.256.743.193
"Ecthyma, Contagious",C22.836.259
Ectodermal Dysplasia,C16.131.077.350
Ectodermal Dysplasia,C16.131.831.350
Ectodermal Dysplasia,C16.320.850.250
Ectodermal Dysplasia,C17.800.804.350
Ectodermal Dysplasia,C17.800.827.250
Ectoparasitic Infestations,C01.610.858.211
Ectopia Lentis,C11.250.300
Ectopia Lentis,C11.510.598.373
Ectopia Lentis,C16.131.384.405
Ectromelia,C05.660.585.350
Ectromelia,C16.131.621.585.350
"Ectromelia, Infectious",C01.925.256.743.239
"Ectromelia, Infectious",C22.795.239
Ectropion,C11.338.362
Eczema,C17.800.174.620
Eczema,C17.800.815.620
Edema,C23.888.277
Edema Disease of Swine,C22.905.260
"Edema, Cardiac",C14.280.434.482
"Edema, Cardiac",C23.888.277.197
Ehlers-Danlos Syndrome,C14.907.454.240
Ehlers-Danlos Syndrome,C15.378.463.515.240
Ehlers-Danlos Syndrome,C16.131.831.428
Ehlers-Danlos Syndrome,C16.320.850.260
Ehlers-Danlos Syndrome,C17.300.200.310
Ehlers-Danlos Syndrome,C17.800.804.428
Ehlers-Danlos Syndrome,C17.800.827.260
Eisenmenger Complex,C14.240.400.450
Eisenmenger Complex,C14.280.400.450
Eisenmenger Complex,C16.131.240.400.450
Electric Injuries,C26.324
Elephantiasis,C15.604.496.320
"Elephantiasis, Filarial",C01.610.335.508.700.750.361.350
"Elephantiasis, Filarial",C01.920.852.250
"Elephantiasis, Filarial",C15.604.496.490
"Elliptocytosis, Hereditary",C15.378.050.141.150.365
"Elliptocytosis, Hereditary",C16.320.070.365
Ellis-Van Creveld Syndrome,C05.116.099.708.327
Ellis-Van Creveld Syndrome,C16.131.077.350.398
Ellis-Van Creveld Syndrome,C16.131.831.350.398
Ellis-Van Creveld Syndrome,C16.320.850.250.398
Ellis-Van Creveld Syndrome,C17.800.804.350.398
Ellis-Van Creveld Syndrome,C17.800.827.250.398
Emaciation,C23.888.144.828.500
Embolism,C14.907.355.350
"Embolism, Air",C14.907.355.350.254
"Embolism, Amniotic Fluid",C12.050.703.634.404
"Embolism, Amniotic Fluid",C14.583.404
"Embolism, Amniotic Fluid",C14.907.355.350.354
"Embolism, Fat",C14.907.355.350.454
Emergencies,C23.550.291.781
Emphysema,C23.550.325
Empty Sella Syndrome,C10.228.140.617.738.200
Empty Sella Syndrome,C19.700.320
Empyema,C01.830.305
Empyema,C23.550.470.756.305
"Empyema, Tuberculous",C01.748.265.320
"Empyema, Tuberculous",C01.748.912.405
"Empyema, Tuberculous",C01.830.305.310.320
"Empyema, Tuberculous",C08.528.240.320
"Empyema, Tuberculous",C08.528.928.405
"Empyema, Tuberculous",C08.730.265.320
"Empyema, Tuberculous",C08.730.912.405
"Empyema, Tuberculous",C23.550.470.756.305.250.320
Encephalitis,C10.228.140.430
Encephalitis,C10.586.250
"Encephalitis, California",C01.207.245.340.300.200
"Encephalitis, California",C01.207.399.750.300.200
"Encephalitis, California",C01.920.313.156.340
"Encephalitis, California",C01.920.852.500.340
"Encephalitis, California",C01.925.081.343.340
"Encephalitis, California",C01.925.182.525.300.200
"Encephalitis, California",C01.925.782.147.340
"Encephalitis, California",C01.925.782.310.340
"Encephalitis, California",C10.228.140.430.520.750.300.200
"Encephalitis, California",C10.228.228.245.340.300.200
"Encephalitis, California",C10.228.228.399.750.300.200
"Encephalitis, California",C10.586.250.520.750.300.200
"Encephalitis, Arbovirus",C01.207.245.340.300
"Encephalitis, Arbovirus",C01.207.399.750.300
"Encephalitis, Arbovirus",C01.920.313.156
"Encephalitis, Arbovirus",C01.920.852.500
"Encephalitis, Arbovirus",C01.925.081.343
"Encephalitis, Arbovirus",C01.925.182.525.300
"Encephalitis, Arbovirus",C01.925.782.310
"Encephalitis, Arbovirus",C10.228.140.430.520.750.300
"Encephalitis, Arbovirus",C10.228.228.245.340.300
"Encephalitis, Arbovirus",C10.228.228.399.750.300
"Encephalitis, Arbovirus",C10.586.250.520.750.300
"Encephalitis, Japanese",C01.207.245.340.300.400
"Encephalitis, Japanese",C01.207.399.750.300.400
"Encephalitis, Japanese",C01.920.313.156.345
"Encephalitis, Japanese",C01.920.852.500.345
"Encephalitis, Japanese",C01.925.081.343.345
"Encephalitis, Japanese",C01.925.182.525.300.250
"Encephalitis, Japanese",C01.925.782.310.345
"Encephalitis, Japanese",C01.925.782.350.250.300
"Encephalitis, Japanese",C10.228.140.430.520.750.300.400
"Encephalitis, Japanese",C10.228.228.245.340.300.400
"Encephalitis, Japanese",C10.228.228.399.750.300.400
"Encephalitis, Japanese",C10.586.250.520.750.300.400
"Encephalomyelitis, Acute Disseminated",C10.114.375.225
"Encephalomyelitis, Acute Disseminated",C10.228.140.695.562.225
"Encephalomyelitis, Acute Disseminated",C10.314.350.225
"Encephalomyelitis, Acute Disseminated",C20.111.258.250.350
"Encephalomyelitis, Acute Disseminated",C23.550.291.500.829.188
"Encephalitis, St. Louis",C01.207.245.340.300.550
"Encephalitis, St. Louis",C01.207.399.750.300.550
"Encephalitis, St. Louis",C01.920.313.156.350
"Encephalitis, St. Louis",C01.920.852.500.350
"Encephalitis, St. Louis",C01.925.081.343.350
"Encephalitis, St. Louis",C01.925.182.525.300.300
"Encephalitis, St. Louis",C01.925.782.310.350
"Encephalitis, St. Louis",C01.925.782.350.250.450
"Encephalitis, St. Louis",C10.228.140.430.520.750.300.550
"Encephalitis, St. Louis",C10.228.228.245.340.300.550
"Encephalitis, St. Louis",C10.228.228.399.750.300.550
"Encephalitis, St. Louis",C10.586.250.520.750.300.550
"Encephalitis, Tick-Borne",C01.207.245.340.300.775
"Encephalitis, Tick-Borne",C01.207.399.750.300.775
"Encephalitis, Tick-Borne",C01.920.313.187
"Encephalitis, Tick-Borne",C01.920.930.400
"Encephalitis, Tick-Borne",C01.925.081.343.360
"Encephalitis, Tick-Borne",C01.925.182.525.300.350
"Encephalitis, Tick-Borne",C01.925.782.310.360
"Encephalitis, Tick-Borne",C01.925.782.350.250.500
"Encephalitis, Tick-Borne",C10.228.140.430.520.750.300.775
"Encephalitis, Tick-Borne",C10.228.228.245.340.300.775
"Encephalitis, Tick-Borne",C10.228.228.399.750.300.775
"Encephalitis, Tick-Borne",C10.586.250.520.750.300.775
Encephalocele,C10.500.680.488
Encephalocele,C16.131.666.680.488
Encephalocele,C23.300.707.186
Encephalomalacia,C10.228.140.461
Encephalomyelitis,C01.207.291
Encephalomyelitis,C10.228.228.291
Encephalomyelitis,C10.586.500
"Encephalomyelitis, Autoimmune, Experimental",C10.114.703.300
"Encephalomyelitis, Autoimmune, Experimental",C10.228.140.695.562.250
"Encephalomyelitis, Autoimmune, Experimental",C10.314.350.250
"Encephalomyelitis, Autoimmune, Experimental",C20.111.258.625.300
"Encephalomyelitis, Enzootic Porcine",C01.925.782.687.359.456
"Encephalomyelitis, Enzootic Porcine",C22.905.323
"Encephalomyelitis, Equine",C01.207.245.340.450
"Encephalomyelitis, Equine",C01.207.291.323
"Encephalomyelitis, Equine",C01.207.399.750.450
"Encephalomyelitis, Equine",C01.920.313.078.370
"Encephalomyelitis, Equine",C01.920.313.156.655
"Encephalomyelitis, Equine",C01.920.852.032.370
"Encephalomyelitis, Equine",C01.920.852.500.655
"Encephalomyelitis, Equine",C01.925.081.343.655
"Encephalomyelitis, Equine",C01.925.182.525.450
"Encephalomyelitis, Equine",C01.925.782.930.100.370
"Encephalomyelitis, Equine",C10.228.140.430.520.750.450
"Encephalomyelitis, Equine",C10.228.228.245.340.450
"Encephalomyelitis, Equine",C10.228.228.291.323
"Encephalomyelitis, Equine",C10.228.228.399.750.450
"Encephalomyelitis, Equine",C10.586.250.520.750.450
"Encephalomyelitis, Equine",C10.586.500.406
"Leukoencephalitis, Acute Hemorrhagic",C10.114.375.225.500
"Leukoencephalitis, Acute Hemorrhagic",C10.228.140.695.562.225.500
"Leukoencephalitis, Acute Hemorrhagic",C10.314.350.225.500
"Leukoencephalitis, Acute Hemorrhagic",C20.111.258.250.350.500
"Encephalomyelitis, Venezuelan Equine",C01.207.245.340.450.600
"Encephalomyelitis, Venezuelan Equine",C01.207.291.323.325
"Encephalomyelitis, Venezuelan Equine",C01.207.399.750.450.600
"Encephalomyelitis, Venezuelan Equine",C01.920.313.078.370.325
"Encephalomyelitis, Venezuelan Equine",C01.920.313.156.655.355
"Encephalomyelitis, Venezuelan Equine",C01.920.852.032.370.325
"Encephalomyelitis, Venezuelan Equine",C01.920.852.500.655.355
"Encephalomyelitis, Venezuelan Equine",C01.925.081.343.655.355
"Encephalomyelitis, Venezuelan Equine",C01.925.182.525.450.250
"Encephalomyelitis, Venezuelan Equine",C01.925.782.930.100.370.325
"Encephalomyelitis, Venezuelan Equine",C10.228.140.430.520.750.450.600
"Encephalomyelitis, Venezuelan Equine",C10.228.228.245.340.450.600
"Encephalomyelitis, Venezuelan Equine",C10.228.228.291.323.325
"Encephalomyelitis, Venezuelan Equine",C10.228.228.399.750.450.600
"Encephalomyelitis, Venezuelan Equine",C10.586.250.520.750.450.600
"Encephalomyelitis, Venezuelan Equine",C10.586.500.406.225
Enchondromatosis,C05.116.099.708.338
Encopresis,C23.888.821.266
Endarteritis,C14.907.940.090.340
Endocardial Cushion Defects,C14.240.400.560.350
Endocardial Cushion Defects,C14.280.400.560.350
Endocardial Cushion Defects,C16.131.240.400.560.350
Endocardial Fibroelastosis,C14.280.238.281
Endocarditis,C14.280.282
"Endocarditis, Bacterial",C01.150.252.245
"Endocarditis, Bacterial",C01.190.249
"Endocarditis, Bacterial",C14.260.249
"Endocarditis, Bacterial",C14.280.282.407
"Endocarditis, Subacute Bacterial",C01.150.252.245.500
"Endocarditis, Subacute Bacterial",C01.150.252.410.890.335
"Endocarditis, Subacute Bacterial",C01.190.249.407
"Endocarditis, Subacute Bacterial",C14.260.249.407
"Endocarditis, Subacute Bacterial",C14.280.282.407.407
Endocrine System Diseases,C19
Endocrine Gland Neoplasms,C04.588.322
Endocrine Gland Neoplasms,C19.344
Endometrial Hyperplasia,C12.050.351.500.852.228
Endometrial Hyperplasia,C12.100.250.852.228
Endometriosis,C12.050.351.500.163
Endometriosis,C12.100.250.163
Endometritis,C12.050.351.500.056.750.249
Endometritis,C12.050.351.500.852.299
Endometritis,C12.100.250.056.750.249
Endometritis,C12.100.250.852.299
Endomyocardial Fibrosis,C14.280.238.406
Entamoebiasis,C01.610.752.049.407
Enteritis,C06.405.205.462
Enteritis,C06.405.469.326
"Enteritis, Transmissible, of Turkeys",C01.925.782.600.550.200.325
"Enteritis, Transmissible, of Turkeys",C22.131.728.250
Enterobacteriaceae Infections,C01.150.252.400.310
Enterocolitis,C06.405.205.596
Enterocolitis,C06.405.469.363
"Enterocolitis, Pseudomembranous",C01.150.252.410.222.310
"Enterocolitis, Pseudomembranous",C06.405.205.596.800
"Enterocolitis, Pseudomembranous",C06.405.469.363.800
Enterotoxemia,C01.150.252.410.222.325
Enterotoxemia,C22.313
Enterovirus Infections,C01.925.782.687.359
Entropion,C11.338.443
Enuresis,C12.050.351.968.934.252
Enuresis,C12.200.777.934.284
Enuresis,C12.950.934.252
Eosinophilia,C15.378.553.231
Eosinophilic Granuloma,C05.116.391
Eosinophilic Granuloma,C08.381.483.375.500
Eosinophilic Granuloma,C15.378.553.231.348
Eosinophilic Granuloma,C15.604.250.400.360
Eosinophilic Granuloma,C23.550.382.250
Ependymoma,C04.557.465.625.600.380.290
Ependymoma,C04.557.470.670.380.290
Ependymoma,C04.557.580.625.600.380.290
Ephemeral Fever,C01.925.782.580.830.375
Ephemeral Fever,C22.196.274
Epidermal Cyst,C04.182.254
"Epidermitis, Exudative, of Swine",C22.905.382
Epidermodysplasia Verruciformis,C01.925.256.650.810.345
Epidermodysplasia Verruciformis,C01.925.825.810.260
Epidermodysplasia Verruciformis,C01.925.928.914.345
Epidermodysplasia Verruciformis,C17.800.838.790.810.260
Epidermolysis Bullosa,C16.131.831.493
Epidermolysis Bullosa,C16.320.850.275
Epidermolysis Bullosa,C17.800.804.493
Epidermolysis Bullosa,C17.800.827.275
Epidermolysis Bullosa,C17.800.865.410
Epididymitis,C12.100.500.199
Epididymitis,C12.200.294.199
Epiglottitis,C01.748.798.200
Epiglottitis,C08.730.798.200
Epilepsy,C10.228.140.490
"Epilepsies, Partial",C10.228.140.490.360
"Epilepsy, Generalized",C10.228.140.490.375
"Epilepsy, Tonic-Clonic",C10.228.140.490.375.290
"Epilepsies, Myoclonic",C10.228.140.490.375.130
"Epilepsies, Myoclonic",C10.228.140.490.493.063
"Epilepsy, Absence",C10.228.140.490.375.260
"Epilepsy, Absence",C10.228.140.490.493.125
"Epilepsy, Temporal Lobe",C10.228.140.490.360.290
"Epilepsy, Temporal Lobe",C10.228.140.490.493.375
"Epilepsy, Post-Traumatic",C10.228.140.199.650
"Epilepsy, Post-Traumatic",C10.228.140.490.380
"Epilepsy, Post-Traumatic",C10.900.300.087.600
"Epilepsy, Post-Traumatic",C26.915.300.200.475
"Epiphyses, Slipped",C05.116.425
Epispadias,C12.050.351.875.374
Epispadias,C12.050.351.968.767.374
Epispadias,C12.200.706.374
Epispadias,C12.200.777.767.374
Epispadias,C12.800.374
Epispadias,C12.950.767.374
Epispadias,C16.131.939.374
Epistaxis,C08.460.261
Epistaxis,C09.603.261
Epistaxis,C23.550.414.712
Epistaxis,C23.888.852.040
Equine Infectious Anemia,C01.925.782.815.616.300
Equine Infectious Anemia,C01.925.839.375
Equine Infectious Anemia,C22.488.304
Equinus Deformity,C05.330.488.655.125
Equinus Deformity,C05.330.495.681.125
Equinus Deformity,C05.660.585.512.380.813.125
Equinus Deformity,C16.131.621.585.512.500.681.125
Ergotism,C25.723.680.262
Eructation,C23.888.821.297
Erysipelas,C01.150.252.410.890.503
Erysipelas,C01.150.252.819.260
Erysipelas,C01.800.720.260
Erysipelas,C17.800.838.765.260
Erysipeloid,C01.150.252.410.334.329
Erysipelothrix Infections,C01.150.252.410.334
Erysipelothrix Infections,C22.331
Erythema,C17.800.229
Erythema,C23.888.885.328
Erythema Induratum,C01.150.252.819.820.260
Erythema Induratum,C01.800.720.820.260
Erythema Induratum,C17.300.710.329
Erythema Induratum,C17.800.229.329
Erythema Induratum,C17.800.566.329
Erythema Induratum,C17.800.838.765.820.320
Erythema Multiforme,C17.800.229.400
Erythema Multiforme,C17.800.865.475
Erythema Nodosum,C17.800.174.600.375
Erythema Nodosum,C17.800.229.413
Erythema Nodosum,C25.100.468.380.375
Erythrasma,C01.150.252.410.040.246.694
Erythrasma,C01.150.252.819.320
Erythrasma,C01.800.720.320
Erythrasma,C17.800.838.765.320
"Erythroblastosis, Fetal",C12.050.703.277.060
"Erythroblastosis, Fetal",C15.378.295
"Erythroblastosis, Fetal",C16.300.060
"Erythroblastosis, Fetal",C16.614.304
"Erythroblastosis, Fetal",C20.306
"Leukemia, Erythroblastic, Acute",C04.557.337.539.275.325
"Leukemia, Erythroblastic, Acute",C15.378.190.636.276
"Leukemia, Erythroblastic, Acute",C15.378.508.539.275.325
Erythromelalgia,C14.907.617.500
Erythroplasia,C04.834.288
Escherichia coli Infections,C01.150.252.400.310.330
Esophageal Achalasia,C06.405.117.119.500.432
Esophageal and Gastric Varices,C06.405.117.240
Esophageal and Gastric Varices,C06.552.494.414
Esophageal Atresia,C06.198.330
Esophageal Atresia,C06.405.117.260
Esophageal Atresia,C16.131.314.330
Esophageal Cyst,C04.182.281
Esophageal Cyst,C06.405.117.316
Esophageal Diseases,C06.405.117
"Diverticulum, Esophageal",C06.405.205.282.750.625
"Diverticulum, Esophageal",C23.300.415.625
Esophageal Fistula,C06.267.250
Esophageal Fistula,C06.405.117.367
Esophageal Fistula,C23.300.575.185.250
Esophageal Neoplasms,C04.588.274.476.205
Esophageal Neoplasms,C04.588.443.353
Esophageal Neoplasms,C06.301.371.205
Esophageal Neoplasms,C06.405.117.430
Esophageal Neoplasms,C06.405.249.205
Esophageal Perforation,C06.405.117.468
Esophageal Perforation,C26.348
Esophageal Stenosis,C06.405.117.544
Esophagitis,C06.405.117.620
Esophagitis,C06.405.205.663
"Esophagitis, Peptic",C06.405.117.620.420
"Esophagitis, Peptic",C06.405.205.663.420
"Esophagitis, Peptic",C06.405.469.275.800.523
"Esophagitis, Peptic",C06.405.748.586.524
Esotropia,C10.292.562.887.300
Esotropia,C11.590.810.400
Eunuchism,C19.391.482.293
Euthyroid Sick Syndromes,C19.874.255
Exanthema,C17.800.257
Exanthema Subitum,C01.925.256.466.850.290
Exanthema Subitum,C01.925.825.290
Exanthema Subitum,C17.800.257.335
Exanthema Subitum,C17.800.838.790.290
Exophthalmos,C11.675.349
Exostoses,C05.116.540.310
"Exostoses, Multiple Hereditary",C04.557.450.565.575.610.615.325
"Exostoses, Multiple Hereditary",C04.700.330
"Exostoses, Multiple Hereditary",C05.116.099.708.670.615.325
"Exostoses, Multiple Hereditary",C05.116.540.310.500
"Exostoses, Multiple Hereditary",C16.320.700.330
Exotropia,C10.292.562.887.650
Exotropia,C11.590.810.440
"Cardiac Complexes, Premature",C14.280.067.325
"Cardiac Complexes, Premature",C14.280.123.375
"Cardiac Complexes, Premature",C23.550.073.325
Extravasation of Diagnostic and Therapeutic Materials,C23.550.340
Extravasation of Diagnostic and Therapeutic Materials,C26.371
Eye Abnormalities,C11.250
Eye Abnormalities,C16.131.384
Eye Burns,C10.900.300.284.250.250
Eye Burns,C26.200.503
Eye Burns,C26.915.300.425.250.250
Eye Diseases,C11
Eye Foreign Bodies,C10.900.300.284.250.260
Eye Foreign Bodies,C26.392.421
Eye Foreign Bodies,C26.915.300.425.250.260
Eye Hemorrhage,C11.290
Eye Hemorrhage,C23.550.414.756
Eye Hemorrhage,C23.888.307.500
Eye Injuries,C10.900.300.284.250
Eye Injuries,C11.297
Eye Injuries,C26.915.300.425.250
Eye Manifestations,C11.300
Eye Manifestations,C23.888.307
Eye Neoplasms,C04.588.364
Eye Neoplasms,C11.319
Eyelid Diseases,C11.338
Eyelid Neoplasms,C04.588.443.392.500
Eyelid Neoplasms,C11.319.421
Eyelid Neoplasms,C11.338.526
Facial Asymmetry,C23.300.505
Facial Dermatoses,C17.800.271
Facial Hemiatrophy,C07.465.284
Facial Hemiatrophy,C07.465.299.375
Facial Hemiatrophy,C10.292.319.375
Facial Injuries,C10.900.300.284
Facial Injuries,C26.915.300.425
Facial Neoplasms,C04.588.443.392
Facial Nerve Diseases,C07.465.299
Facial Nerve Diseases,C10.292.319
Facial Neuralgia,C07.465.299.625
Facial Neuralgia,C10.292.319.625
Facial Pain,C23.888.592.612.330
Facial Paralysis,C07.465.327
Facial Paralysis,C10.597.622.214
Facial Paralysis,C23.888.592.636.214
Factor V Deficiency,C15.378.100.100.300
Factor V Deficiency,C15.378.100.141.300
Factor V Deficiency,C15.378.463.300
Factor V Deficiency,C16.320.099.300
Factor VII Deficiency,C15.378.100.100.310
Factor VII Deficiency,C15.378.100.141.310
Factor VII Deficiency,C15.378.463.310
Factor VII Deficiency,C16.320.099.310
Factor X Deficiency,C15.378.100.100.320
Factor X Deficiency,C15.378.100.141.320
Factor X Deficiency,C15.378.463.320
Factor X Deficiency,C16.320.099.320
Factor XI Deficiency,C15.378.100.100.325
Factor XI Deficiency,C15.378.100.141.325
Factor XI Deficiency,C15.378.463.325
Factor XI Deficiency,C16.320.099.325
Factor XII Deficiency,C15.378.100.100.330
Factor XII Deficiency,C15.378.100.141.330
Factor XII Deficiency,C15.378.463.330
Factor XII Deficiency,C16.320.099.330
Factor XIII Deficiency,C15.378.100.100.335
Factor XIII Deficiency,C15.378.100.141.335
Factor XIII Deficiency,C15.378.463.335
Factor XIII Deficiency,C16.320.099.335
Failure to Thrive,C23.888.338
Fallopian Tube Diseases,C12.050.351.500.056.390
Fallopian Tube Diseases,C12.100.250.056.390
Fallopian Tube Neoplasms,C04.588.945.418.365
Fallopian Tube Neoplasms,C12.050.351.500.056.390.390
Fallopian Tube Neoplasms,C12.050.351.937.418.365
Fallopian Tube Neoplasms,C12.100.250.056.390.390
Fallopian Tube Neoplasms,C12.900.418.365
Fanconi Syndrome,C12.050.351.968.419.815.450
Fanconi Syndrome,C12.200.777.419.815.450
Fanconi Syndrome,C12.950.419.815.450
Fanconi Syndrome,C16.320.831.450
Fanconi Anemia,C15.378.050.085.080.280
Fanconi Anemia,C15.378.190.223.500.500.280
Fanconi Anemia,C16.320.077.280
Fanconi Anemia,C18.452.284.280
Farmer's Lung,C08.381.483.125.365
Farmer's Lung,C08.674.055.365
Farmer's Lung,C20.543.480.680.075.365
Farmer's Lung,C24.080.365
Fasciculation,C10.597.613.250
Fasciculation,C23.888.592.608.250
Fasciitis,C05.321
Fascioliasis,C01.610.335.865.354
Fascioliasis,C01.610.518.424
Fascioliasis,C06.552.664.424
Fascioloidiasis,C01.610.335.349.444
Fascioloidiasis,C01.610.335.865.399
Fascioloidiasis,C01.610.701.377.444
Fascioloidiasis,C22.674.377.444
Fat Necrosis,C23.550.717.365
Fatigue,C23.888.369
Mental Fatigue,C23.888.369.500
Fatty Liver,C06.552.241
"Fatty Liver, Alcoholic",C06.552.241.390
"Fatty Liver, Alcoholic",C06.552.645.390
"Fatty Liver, Alcoholic",C25.775.100.087.645.390
Favism,C15.378.050.141.150.480.370
Favism,C15.378.050.141.370
Favism,C16.320.070.480.370
Favism,C25.723.415.341
Favism,C25.723.756.375
Fecal Incontinence,C06.405.469.860.300
Fecal Impaction,C06.405.469.531.424
Feline Panleukopenia,C01.925.256.700.363
Feline Panleukopenia,C22.180.460
Felty Syndrome,C05.550.114.154.389
Felty Syndrome,C05.799.114.389
Felty Syndrome,C17.300.775.099.389
Felty Syndrome,C20.111.199.389
Female Urogenital Diseases and Pregnancy Complications,C12.050
Feminization,C23.888.378
Femoral Fractures,C26.404.061
Femoral Fractures,C26.558.276
Femoral Neck Fractures,C26.404.061.425.500
Femoral Neck Fractures,C26.531.750.500
Femoral Neck Fractures,C26.558.276.425.500
Femoral Neoplasms,C04.588.149.276
Femoral Neoplasms,C05.116.231.343
Femur Head Necrosis,C05.116.852.175
Femur Head Necrosis,C23.550.717.732.368
Fetal Hypoxia,C12.050.703.277.390
Fetal Hypoxia,C16.300.420
Fetal Hypoxia,C23.888.852.079.594
Fetal Death,C12.050.703.223
Fetal Death,C23.550.260.585
Fetal Diseases,C12.050.703.277
Fetal Diseases,C16.300
Fetal Distress,C23.888.380
Fetal Growth Retardation,C12.050.703.277.370
Fetal Growth Retardation,C16.300.390
Fetal Growth Retardation,C23.550.393.450
Fetal Macrosomia,C12.050.703.170.500
Fetal Macrosomia,C12.050.703.277.570
Fetal Macrosomia,C12.050.703.726.570
Fetal Macrosomia,C16.300.570
Fetal Macrosomia,C19.246.099.968
Fetal Macrosomia,C23.888.144.186.500
"Fetal Membranes, Premature Rupture",C12.050.703.420.339
Fetal Resorption,C12.050.703.223.300
Fetal Resorption,C23.550.260.585.260
Fetofetal Transfusion,C15.378.050.363.344
Fetofetal Transfusion,C16.614.053.344
Fetomaternal Transfusion,C15.378.050.363.511
